modelCode,modelDescription,stock,availability,totalQuantity,fundRequired,totalAllocation,OrderVAlue,dealer_dealerId,vectorReq,fst,black,red,yellow,green,rational,snopAllocation,svopAllocation
M1001,Honda CBR500R,20,18,38,12000,9000,11000,D001,Yes,10,5,3,2,1,N/A,15,12
M1002,Yamaha R15,15,14,29,9500,7000,8500,D001,Yes,8,4,2,1,1,N/A,10,8
M1003,Suzuki GSX-S750,12,10,22,8000,6000,7500,D001,Yes,7,3,2,1,1,N/A,8,6
M1004,KTM Duke 390,18,16,34,11000,8500,10000,D001,Yes,9,5,3,2,1,N/A,12,10
M1005,Bajaj Pulsar 220,25,22,47,15000,11000,14000,D001,Yes,12,6,4,3,2,N/A,18,14
M1006,Honda CB650R,14,13,27,9000,7000,8200,D001,Yes,8,4,2,1,1,N/A,10,9
M1007,Yamaha MT-07,19,17,36,11500,8800,10200,D001,Yes,10,5,3,2,1,N/A,14,12
M1008,Suzuki Hayabusa,21,19,40,12500,9500,11200,D001,Yes,11,6,4,2,1,N/A,16,13
M1009,KTM RC 390,16,14,30,10000,7500,8800,D001,Yes,9,5,3,2,1,N/A,12,10
M1010,Bajaj Dominar 400,22,20,42,13000,10000,11500,D001,Yes,12,6,4,3,2,N/A,17,14
M2001,Honda Activa 6G,30,28,58,20000,15000,18000,D002,Yes,15,8,5,3,2,N/A,20,16
M2002,Yamaha FZ-S,25,23,48,17000,13000,15500,D002,Yes,13,7,4,3,2,N/A,18,14
M2003,Suzuki Access 125,28,26,54,18500,14000,16500,D002,Yes,14,7,4,3,2,N/A,19,15
M2004,KTM RC 200,32,29,61,21000,16000,19000,D002,Yes,16,8,5,4,3,N/A,22,17
M2005,Bajaj Avenger 220,24,21,45,16500,12500,15000,D002,Yes,13,7,4,3,2,N/A,17,13
M2006,Honda Dio,26,24,50,17500,13500,16000,D002,Yes,14,7,4,3,2,N/A,18,14
M2007,Yamaha Ray ZR,29,26,55,19000,14500,17000,D002,Yes,15,8,5,3,2,N/A,20,15
M2008,Suzuki Burgman Street,31,28,59,20500,15500,18500,D002,Yes,16,8,5,4,3,N/A,21,16
M2009,KTM Duke 125,27,25,52,18000,14000,16500,D002,Yes,14,7,4,3,2,N/A,19,14
M2010,Bajaj CT 100,33,30,63,21500,16500,19500,D002,Yes,17,9,5,4,3,N/A,22,17
M3001,Honda CB500X,18,16,34,11500,8500,10200,D003,Yes,9,5,3,2,1,N/A,12,10
M3002,Yamaha MT-09,20,18,38,12500,9500,11200,D003,Yes,10,5,3,2,1,N/A,14,12
M3003,Suzuki V-Strom 650,15,13,28,9500,7000,8500,D003,Yes,8,4,2,1,1,N/A,10,8
M3004,KTM Adventure 390,22,20,42,13000,10000,11500,D003,Yes,11,6,4,2,1,N/A,16,13
M3005,Bajaj Dominar 250,24,22,46,14500,11000,14000,D003,Yes,12,6,4,3,2,N/A,17,14
M3006,Honda CB300R,19,17,36,11500,8800,10200,D003,Yes,10,5,3,2,1,N/A,14,12
M3007,Yamaha R3,21,19,40,12500,9500,11200,D003,Yes,11,6,4,2,1,N/A,16,13
M3008,Suzuki GSX250R,17,15,32,10500,7800,9000,D003,Yes,9,5,3,2,1,N/A,12,10
M3009,KTM RC 390 ABS,23,21,44,13500,10200,12000,D003,Yes,12,6,4,3,2,N/A,16,13
M3010,Bajaj Pulsar NS200,20,18,38,12000,9000,11000,D003,Yes,10,5,3,2,1,N/A,14,12
M4001,Honda CB1000R,26,24,50,17500,13500,16000,D004,Yes,14,7,4,3,2,N/A,18,14
M4002,Yamaha FJR1300,28,25,53,18000,14000,16500,D004,Yes,15,8,5,3,2,N/A,20,15
M4003,Suzuki Hayabusa 2023,30,27,57,19500,14500,17000,D004,Yes,16,8,5,4,3,N/A,21,16
M4004,KTM Super Duke,32,29,61,21000,16000,19000,D004,Yes,16,8,5,4,3,N/A,22,17
M4005,Bajaj Avenger Cruise,24,21,45,16500,12500,15000,D004,Yes,13,7,4,3,2,N/A,17,13
M4006,Honda Forza 300,26,24,50,17500,13500,16000,D004,Yes,14,7,4,3,2,N/A,18,14
M4007,Yamaha NMAX,29,26,55,19000,14500,17000,D004,Yes,15,8,5,3,2,N/A,20,15
M4008,Suzuki Access 110,31,28,59,20500,15500,18500,D004,Yes,16,8,5,4,3,N/A,21,16
M4009,KTM RC 250,27,25,52,18000,14000,16500,D004,Yes,14,7,4,3,2,N/A,19,14
M4010,Bajaj Platina 100,33,30,63,21500,16500,19500,D004,Yes,17,9,5,4,3,N/A,22,17
M5001,Honda CB650F,20,18,38,12000,9000,11000,D005,Yes,10,5,3,2,1,N/A,15,12
M5002,Yamaha XSR700,15,14,29,9500,7000,8500,D005,Yes,8,4,2,1,1,N/A,10,8
M5003,Suzuki GSX-R1000,12,10,22,8000,6000,7500,D005,Yes,7,3,2,1,1,N/A,8,6
M5004,KTM RC 390 2023,18,16,34,11000,8500,10000,D005,Yes,9,5,3,2,1,N/A,12,10
M5005,Bajaj Dominar 400 ABS,25,22,47,15000,11000,14000,D005,Yes,12,6,4,3,2,N/A,18,14
M5006,Honda CBR650R,14,13,27,9000,7000,8200,D005,Yes,8,4,2,1,1,N/A,10,9
M5007,Yamaha R6,19,17,36,11500,8800,10200,D005,Yes,10,5,3,2,1,N/A,14,12
M5008,Suzuki V-Strom 1000,21,19,40,12500,9500,11200,D005,Yes,11,6,4,2,1,N/A,16,13
M5009,KTM Adventure 1290,16,14,30,10000,7500,8800,D005,Yes,9,5,3,2,1,N/A,12,10
M5010,Bajaj Pulsar NS160,22,20,42,13000,10000,11500,D005,Yes,12,6,4,3,2,N/A,17,14